Name,Research unit(s),URL
Jonathan D. Cohen,"Psychology, Center for Statistics & Machine Learning, Princeton Institute for Computational Science and Engineering, Princeton Neuroscience Institute",https://collaborate.princeton.edu/en/persons/jonathan-d-cohen
Morrel H. Cohen,Chemistry,https://collaborate.princeton.edu/en/persons/morrel-h-cohen
Samuel A. Cohen,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/samuel-a-cohen
Andrew Cole,English,https://collaborate.princeton.edu/en/persons/andrew-cole
Linda Jane Colley,History,https://collaborate.princeton.edu/en/persons/linda-jane-colley
Lindsay Collins,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/lindsay-collins
Beatriz Colomina,,https://collaborate.princeton.edu/en/persons/beatriz-colomina
Alin I. Coman,Psychology,https://collaborate.princeton.edu/en/persons/alin-i-coman
Benjamin Conisbee Baer,Comparative Literature,https://collaborate.princeton.edu/en/persons/benjamin-conisbee-baer
Thomas Donald Conlan,East Asian Studies,https://collaborate.princeton.edu/en/persons/thomas-donald-conlan
Dalton Conley,Sociology,https://collaborate.princeton.edu/en/persons/dalton-conley
Peter Constantin,"Mathematics, Princeton Institute for Computational Science and Engineering",https://collaborate.princeton.edu/en/persons/peter-constantin
Gregory Andrew Conti,Politics,https://collaborate.princeton.edu/en/persons/gregory-andrew-conti
Jonathan M. Conway,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/jonathan-m-conway
Michael Allan Cook,Near Eastern Studies,https://collaborate.princeton.edu/en/persons/michael-allan-cook
Joel Cooper,Psychology,https://collaborate.princeton.edu/en/persons/joel-cooper
Bradin T. Cormack,English,https://collaborate.princeton.edu/en/persons/bradin-t-cormack
Steven Charles Cowley,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/steven-charles-cowley
Natalie Cox,"Economics, Bendheim Center for Finance",https://collaborate.princeton.edu/en/persons/natalie-marie-bachas
Angela N. H. Creager,History,https://collaborate.princeton.edu/en/persons/angela-n-h-creager
Ileana M. Cristea,"Molecular Biology, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/ileana-m-cristea
Molly J Crockett,Psychology,https://collaborate.princeton.edu/en/persons/molly-j-crockett
Janet Marion Currie,"Princeton School of Public and International Affairs, Economics",https://collaborate.princeton.edu/en/persons/janet-marion-currie
Mihalis Dafermos,"Mathematics, Physics",https://collaborate.princeton.edu/en/persons/mihalis-dafermos
Marcel Dall'Agnol,Computer Science,https://collaborate.princeton.edu/en/persons/marcel-dallagnol
Rafaela M. Dancygier,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/rafaela-m-dancygier
John David Danner,Keller Center for Innovation in Engineering Education,https://collaborate.princeton.edu/en/persons/john-david-danner
Anthar Saqer Darwish,Molecular Biology,https://collaborate.princeton.edu/en/persons/anthar-saqer-darwish
Sujit Sankar Datta,"Chemical & Biological Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/sujit-sankar-datta
Emily Catherine Davidson,Chemical & Biological Engineering,https://collaborate.princeton.edu/en/persons/emily-catherine-davidson
Elizabeth Anne Davis,,https://collaborate.princeton.edu/en/persons/elizabeth-anne-davis
Nathaniel Douglass Daw,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/nathaniel-douglass-daw
Pablo Gaston Debenedetti,"Chemical & Biological Engineering, Princeton Materials Institute, High Meadows Environmental Institute, Princeton Institute for Computational Science and Engineering, School of Engineering & Applied Science",https://collaborate.princeton.edu/en/persons/pablo-gaston-debenedetti
Luc Deike,"Mechanical & Aerospace Engineering, Civil & Environmental Engineering, High Meadows Environmental Institute, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/luc-deike
Nathalie P. de Leon,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/nathalie-p-de-leon
Rachael Ziady DeLue,Art and Archaeology,https://collaborate.princeton.edu/en/persons/rachael-ziady-delue
Jia Deng,"Computer Science, Center for Statistics & Machine Learning",https://collaborate.princeton.edu/en/persons/jia-deng
Jie Deng,Geosciences,https://collaborate.princeton.edu/en/persons/jie-deng
Donnacha Matthew Dennehy,Music,https://collaborate.princeton.edu/en/persons/donnacha-matthew-dennehy
Ellora Derenoncourt,Economics,https://collaborate.princeton.edu/en/persons/ellora-derenoncourt
Matthew Desmond,Sociology,https://collaborate.princeton.edu/en/persons/matthew-desmond
Curtis A. Deutsch,Geosciences,https://collaborate.princeton.edu/en/persons/curtis-a-deutsch
Danelle Devenport,Molecular Biology,https://collaborate.princeton.edu/en/persons/danelle-devenport
Maria A. DiBattista,English,https://collaborate.princeton.edu/en/persons/maria-a-dibattista
Bradley Horatio Dickerson,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/bradley-horatio-dickerson
Adji Bousso Dieng,Computer Science,https://collaborate.princeton.edu/en/persons/adji-bousso-dieng
Elizabeth Diller,,https://collaborate.princeton.edu/en/persons/elizabeth-diller
Jacob S. Dlamini,History,https://collaborate.princeton.edu/en/persons/jacob-s-dlamini
Andy P. Dobson,"Ecology & Evolutionary Biology, High Meadows Environmental Institute, Lewis-Sigler Institute for Integrative Genomics",https://collaborate.princeton.edu/en/persons/andy-p-dobson
Lynda G. Dodd,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/lynda-g-dodd
Arthur Dogariu,Mechanical & Aerospace Engineering,https://collaborate.princeton.edu/en/persons/arthur-dogariu
Brigid Doherty,German,https://collaborate.princeton.edu/en/persons/brigid-doherty
Jeff Dolven,English,https://collaborate.princeton.edu/en/persons/jeff-dolven
Marc Domingo Gygax,Classics,https://collaborate.princeton.edu/en/persons/marc-domingo-gygax
Robert M. Dondero,Computer Science,https://collaborate.princeton.edu/en/persons/robert-m-dondero
Bruce T. Draine,Astrophysical Sciences,https://collaborate.princeton.edu/en/persons/bruce-t-draine
Susana Draper,Comparative Literature,https://collaborate.princeton.edu/en/persons/susana-draper
Lidal Dror,Philosophy,https://collaborate.princeton.edu/en/persons/lidal-dror
Thomas S. Duffy,"Geosciences, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/thomas-s-duffy
Mitchell Duneier,Sociology,https://collaborate.princeton.edu/en/persons/mitchell-duneier
Jo Dunkley,"Physics, Astrophysical Sciences",https://collaborate.princeton.edu/en/persons/jo-dunkley
Pascaline Dupas,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/pascaline-dupas
Zeev Dvir,"Computer Science, Mathematics",https://collaborate.princeton.edu/en/persons/zeev-dvir
Yaacob Dweck,History,https://collaborate.princeton.edu/en/persons/yaacob-dweck
Kathryn Jo Edin,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/kathryn-jo-edin
Laura F. Edwards,History,https://collaborate.princeton.edu/en/persons/laura-f-edwards
S.E. Eisterer,,https://collaborate.princeton.edu/en/persons/se-eisterer
Adam Newman Elga,Philosophy,https://collaborate.princeton.edu/en/persons/adam-newman-elga
Elizabeth Ellis,History,https://collaborate.princeton.edu/en/persons/elizabeth-ellis
G. J. Peter Elmer,Physics,https://collaborate.princeton.edu/en/persons/g-j-peter-elmer
Julia Elyachar,,https://collaborate.princeton.edu/en/persons/julia-elyachar
Karen Renee Emmerich,Comparative Literature,https://collaborate.princeton.edu/en/persons/karen-renee-emmerich
Esteban A. Engel,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/esteban-a-engel
Tatiana Engel,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/tatiana-engel
Louis Esser,Mathematics,https://collaborate.princeton.edu/en/persons/louis-esser
Hannah Essien,Prnctn Inst Intl & Regnl Studs,https://collaborate.princeton.edu/en/persons/hannah-essien
Benjamin Eysenbach,Computer Science,https://collaborate.princeton.edu/en/persons/benjamin-eysenbach
Annegret Lea Falkner,Princeton Neuroscience Institute,https://collaborate.princeton.edu/en/persons/annegret-lea-falkner
Jianqing Fan,"Operations Research & Financial Engineering, Bendheim Center for Finance, Center for Statistics & Machine Learning, Economics",https://collaborate.princeton.edu/en/persons/jianqing-fan
Fauzia Farooqui,Prnctn Inst Intl & Regnl Studs,https://collaborate.princeton.edu/en/persons/fauzia-farooqui
Katie Farris,Lewis Center for the Arts,https://collaborate.princeton.edu/en/persons/katie-farris
Charles Louis Fefferman,Mathematics,https://collaborate.princeton.edu/en/persons/charles-louis-fefferman
Andrew Mark Feldherr,Classics,https://collaborate.princeton.edu/en/persons/andrew-mark-feldherr
Liane Marquis Feldman,Religion,https://collaborate.princeton.edu/en/persons/liane-marquis-feldman
Philip George Felton,Molecular Biology,https://collaborate.princeton.edu/en/persons/philip-george-felton
Jaime Fernandez Fisac,Electrical and Computer Engineering,https://collaborate.princeton.edu/en/persons/jaime-fernandez-fisac
Patricia Fernandez-Kelly,Sociology,https://collaborate.princeton.edu/en/persons/patricia-fernandez-kelly
Jonathan Michael Fickenscher,Mathematics,https://collaborate.princeton.edu/en/persons/jonathan-michael-fickenscher
Kai Alexander Filsinger,Princeton Materials Institute,https://collaborate.princeton.edu/en/persons/kai-alexander-filsinger
Adam Finkelstein,Computer Science,https://collaborate.princeton.edu/en/persons/adam-finkelstein
Nathaniel J. Fisch,"Astrophysical Sciences, Mechanical & Aerospace Engineering",https://collaborate.princeton.edu/en/persons/nathaniel-j-fisch
Robert S. Fish,Computer Science,https://collaborate.princeton.edu/en/persons/robert-s-fish
Jason W. Fleischer,"Electrical and Computer Engineering, Princeton Materials Institute",https://collaborate.princeton.edu/en/persons/jason-w-fleischer
Marc Fleurbaey,Princeton School of Public and International Affairs,https://collaborate.princeton.edu/en/persons/marc-fleurbaey
Harriet Isabel Flower,Classics,https://collaborate.princeton.edu/en/persons/harriet-isabel-flower
Michael A. Flower,Classics,https://collaborate.princeton.edu/en/persons/michael-a-flower
Ruth Catherine Fong,Computer Science,https://collaborate.princeton.edu/en/persons/ruth-catherine-fong
Devin A. Fore,German,https://collaborate.princeton.edu/en/persons/devin-a-fore
Hal Foster,Art and Archaeology,https://collaborate.princeton.edu/en/persons/hal-foster
Sonja Angelique Francis,Chemistry,https://collaborate.princeton.edu/en/persons/sonja-angelique-francis
